2024-07-26 17:07:704 INFO  HomePage :35 - get the title of the page: 
2024-07-26 17:07:916 INFO  HomePage :42 - click on cookies: [[ChromeDriver: chrome on windows (4dcee7cbd36f5e204b3e86162234b4a3)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-26 17:07:599 INFO  HomePage :47 - click on JoinNowTab: [[ChromeDriver: chrome on windows (4dcee7cbd36f5e204b3e86162234b4a3)] -> xpath: //a[normalize-space()='Join Now']]
2024-07-26 17:07:642 INFO  HomePage :35 - get the title of the page: 
2024-07-26 17:07:768 INFO  HomePage :42 - click on cookies: [[ChromeDriver: chrome on windows (837e72f774f736603fe498167986af11)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-26 17:07:914 INFO  HomePage :62 - selectTopMenu: [[[ChromeDriver: chrome on windows (837e72f774f736603fe498167986af11)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (837e72f774f736603fe498167986af11)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (837e72f774f736603fe498167986af11)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (837e72f774f736603fe498167986af11)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (837e72f774f736603fe498167986af11)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (837e72f774f736603fe498167986af11)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (837e72f774f736603fe498167986af11)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (837e72f774f736603fe498167986af11)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (837e72f774f736603fe498167986af11)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (837e72f774f736603fe498167986af11)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span]]
2024-07-26 17:07:709 INFO  OnlineSlotsPage :19 - Get text of OnlineSlot: [[ChromeDriver: chrome on windows (837e72f774f736603fe498167986af11)] -> xpath: //h1[normalize-space()='Play Online Slots at Virgin Games']]
2024-07-26 19:07:496 INFO  HomePage :35 - get the title of the page: 
2024-07-26 19:07:48 INFO  HomePage :42 - click on cookies: [[ChromeDriver: chrome on windows (831d401c19785337f2bd33a6e17b89ae)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-26 19:07:758 INFO  HomePage :47 - click on JoinNowTab: [[ChromeDriver: chrome on windows (831d401c19785337f2bd33a6e17b89ae)] -> xpath: //a[normalize-space()='Join Now']]
2024-07-26 19:07:711 INFO  HomePage :35 - get the title of the page: 
2024-07-26 19:07:213 INFO  HomePage :42 - click on cookies: [[ChromeDriver: chrome on windows (91e674c690a413fc9a1fb28502fd5da5)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-07-26 19:07:694 INFO  HomePage :62 - selectTopMenu: [[[ChromeDriver: chrome on windows (91e674c690a413fc9a1fb28502fd5da5)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (91e674c690a413fc9a1fb28502fd5da5)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (91e674c690a413fc9a1fb28502fd5da5)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (91e674c690a413fc9a1fb28502fd5da5)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (91e674c690a413fc9a1fb28502fd5da5)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (91e674c690a413fc9a1fb28502fd5da5)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (91e674c690a413fc9a1fb28502fd5da5)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (91e674c690a413fc9a1fb28502fd5da5)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (91e674c690a413fc9a1fb28502fd5da5)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (91e674c690a413fc9a1fb28502fd5da5)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span]]
2024-07-26 19:07:22 INFO  OnlineSlotsPage :19 - Get text of OnlineSlot: [[ChromeDriver: chrome on windows (91e674c690a413fc9a1fb28502fd5da5)] -> xpath: //h1[normalize-space()='Play Online Slots at Virgin Games']]
